Rating,Date,Review
5.0 , 13 March 2015,"Beautiful story...i think...revolution 2020 is the best novel written among of his novels...everything is there...romance...love...hate..complication...politics...and also suspense...full..package of 'masala'..."
5.0 , 29 March 2015,"All the time now Revolution 2020 moves around my mind.If i would have been in Gopal's place i would have played my cards well &amp; would have achieved the Hierarchy,but Gopal doestnt.This makes me think in todays scenario is there any person who will sacrifice his love,oppurtunies???I cant say any thing more,coz i'm speechless after reading this."
4.0 , 30 January 2016,"I am not an avid reader but occasionally I do read and after the much hype of 2 States movie I bought this and <a class="a-link-normal" href="/Half-Girlfriend/dp/8129135728">Half Girlfriend</a> . And as usual after reading them 6 months ago I kept procrastinating to express my view on it.I've got to say that Chetan Bhagat is not a bad writer that our media is so desperately trying to prove and our comedian trying to make a laugh about him.This book is a good read, but after 1 read I didn't opened it for another go. But nevertheless this book can be made into a movie, I am shocked to see that not one of the Bollywood directors have poached it for a film."
4.0 , 6 September 2014,"Really affected a lot on my mind even after reading its effect was on my mind till smthg 4 days..gopal was truely a good man..infct I might hv fallen in luv wid him..diz guy deserves smthg btr.atlst now arti n raghv should know d fact."
1.0 , 9 September 2015,"Printing quality is very poor. Unable to read first 25 pages because it's printed in very dark ink hence both side writing is visible from any side."
4.0 , 26 November 2013,"I got this book and "what young India wants" mentioned as Bhagat's first non-fiction together and I am tempted to consider this as the first non-fiction! Perhaps with this the there was a slow shift to non-fiction this one being basically a story. With the mention of 2020 timed some years later much fictionalisation can appear real as one reads. The order of publication makes sense since reading this book before "first non-fiction" prepares the reader for the later book where there is some presentation of solutions for the reader to consider.With both books available together now, I would suggest one to buy both but read this one first and the other later. May be keep the non-fiction book somewhat out of reach till you are done with this one!"
5.0 , 4 July 2015,"I jus loved the plot....I was more interested to read about Aarti and Gopal than the corruption and related stuffs with raghav.Quite interesting at the beginning and when the corruption part comes bit boring,but compared to the over all story itz worth reading,...."
5.0 , 26 September 2014,"I could say this is the best novel i have ever read.Specially 1st half is awsome Just because I could relate to the character apart from the fact that I have never experienced any incident like the lead character in reality.HOSTELITES MUST READ."
2.0 , 27 November 2014,"Revolution 2020 is my least favorite novel by Chetan Bhagat. But still it has its heart in the right place. The novel highlights the unscrupulous ways of politicians, deceiving ways of achieve success and the misuse of power. I like these aspects of the novel which serves as a solid lesson for the youth. But what was disappointing was the love story….the characters seemed extremely confused and it was quite irritating to read about their thought process…."
4.0 , 12 May 2016,"Chetan Bhagat was indeed successful in bringing up all the corruption related to the context. He knows exactly what Indians want to read and framed the story accordingly. Grabing our attention, making us indulge in the story and does his job of conveying us want he wants us to tell. Brilliant!"
5.0 , 13 September 2015,"A book so hard to hate. The chemistry between Gopal and aarti there conversations, the superb story are some of the highlights of the book. After reading the book i guess Gopal was not the bad guy instead the circumstances made him do the bad things. Overall a must read chetan Bhagat book."
5.0 , 30 September 2015,"After completing this boo.. I was amazed by Gopal's decision he made, that was the turning point of the story and made him Hero in his own eyes as well as for readers.. Seriously now a days it very rare or no one who can sacrifice his love, ambition for someone's happiness who deserve it."
4.0 , 13 December 2015,"I'm reading Chetan Bhagat's novel for the first time and I must this indeed was a good noveIt is about two friends, Gopal and Raghav. In the beginning it shows how Gopal struggles to find a name and how he fights poverty and Raghav had cleared two major engineering colleges but his heart wasn't into it. Both of them fight for winning Aarti's (their childhood friend)  heart. On the contrary, Gopal becomes rich later by establishing a new college whereas Raghav drops his ambition of becoming an engineer and instead becomes a journalist. As the story progresses, Raghav establishes a new newspaper namely ' Revolution 2020 ' which aims at fighting against corruption.I felt, the book had a meek ending but still, it managed to keep me perplexed and intrigued by the plot."
