Rating,Date,Review,,,,,,,,,,,,,,
1, 27 October 2014,"Chetan! Chetan! Who are you?Where are you headed, do you have a clue?I bought your book and read it through,Trust me dear, there is nothing new!A horny hero and a pretty heroine,A prestigious college, stereotypic routine!The story line is an absolute miss,Front page ad in TOI, for a book like this?The back cover talks about Hindi and English,All that is just plain marketing rubbish.This book breaks no language differences,Hasn’t even escaped Bhagat’s prejudiced preferences.I loved you once when you wrote good fun.Best of all, ‘Five Point Someone’.Since then you are stooping to your lowest low,Half Girlfriend, your final blow?Same story twice, can be an honest mistake.But three and four times? Give me a break!Name your leads and share your location,I can write your next story to Bhagat’s perfection.“Simple English is my style”,Says Chetan Bhagat all the time.I am happy with that, totally fine.But excuse me mister, where is the storyline?Your sexist one-liners are witty no more,Don’t you remember, you’ve told them before?You claim that your writing is for the rich to the slums,They have better IQs than that, don’t underestimate them.You are an author who could have been!You’ve let it go for the silver screen.Are you trying to increase you reader hood?Or simply selling out to Bollywood?There have been authors just like you,Who’ve written good books and screenplays too.But you’ve got too carried away and lost the act,And quoting your Alma matter to hide that fact.Chetan O’ Chetan, Where are you?I am not an elitist, I used to really like you.Give us simple but also different and new.Slow your star-chase and get real dude!",,,,,,,,,,,,,,
3, 24 May 2015,"Chetan Bhagat uses simple English to narrate his story. He keeps the plot easy so that the readers do not find it heavy to remember the names, scenes and happenings. The 260-pages novel is divided into three parts: Delhi, Bihar and New York. The college days is described funnily by the author as he masters in telling college and campus stories. But as soon as the book reaches Bihar, you find a sudden transformation in the writing style and even the story. For the research and minute analysis that Chetan has done on Bihar and the whole culture, attitude and priorities of locals living there should be applauded. The mindset of people living in small towns or non-metro cities is very well portrayed in the 2nd part of the book. Coming to the last part of New York, I found it to be the weakest link in the book because of which I find the book falling down to the mediocre level even when it was moving excellently in its first 2/3rd part. Therefore, the novel neither let the message overcome your previous assumptions (related to class system based on English speaking skills) nor the story impresses you at the end of the tale.  There are few scenes that definitely stay with you: When Madhav’s friend asks him to make Bihar proud by sexually involving with his high-notch metro-city girlfriend. How it keeps echoing in his mind that he has to make his state proud makes you laugh. Another moment when Madhav reciprocates to interviewers makes you jump off your seat. CB purposefully inserts scenarios that we wish to do in real life but couldn't and therefore, his story clicks with younger audience. Another thrilling experience is the moment when you realize Riya has disappeared suddenly leaving Madhav behind. Moments like this keeps Half Girlfriend in your hands until you don’t finish it off in one go. There are several drawbacks too; biggest being the anti-climax and climax. It is so stretched that you will find yourself skipping pages to find that one page which would give story a final turn. Also, the characters except Madhav and Riya aren’t being involved much otherwise it could have been more fun finding Madhav fighting against everyone’s demon of demeaning people with bad English.  Overall, Chetan Bhagat has somehow succeeded in what he wanted to deliver through this book. If you aren't speaking fluent English, you won’t be ashamed in future and will give reference of the book to the people/group of people judging you. If you hang around with a girl, kiss her and still, cannot call her your girlfriend, you have got a new term to refer what your relationship with her is. I give this book 3.25/5. I wish climax would have been a bit shorter and better. Half Girlfriend can also be called “Book version of Raanjhanaa(Sonam Kapoor statter)”.",,,,,,,,,,,,,,
1, 27 October 2014,the last 20 pages are missing i hate it,,,,,,,,,,,,,,
3, 19 December 2015,"Yet again, Chetan Bhagat has produced a novel that is more a Bollywood script than a novel. The scenes and situations are constructed in such a manner that almost each and every page acts as a shout-out to all the major productions houses of Bollywood. He could very well have added a PS to the book reading something like'I have added all the spice and flavour for another major Romantic Masala Potboiler for the benefit of all the Johars and Chopras of Bollywood. And the bidding starts now'The story is quite simple with a regular Bihari boy falling head over heels in love with a girl totally opposite to him in education, lifestyle and background, which is much in tune with his earlier novel '2 States' where the protagonists are from two completely different backgrounds and have to fight against odds to come together. However, in 'Half Girlfriend', neither do the situations bring out too much of a emotional conflict or turmoil nor does the characterisation come out as an example of finesse. Moreover, some of the scenes, like the one at the end where the Bihari boy manages to locate the girl and approaches her right in the middle of her performance, make you say 'SERIOUSLY!' aloud.It is a good read for those who are not well-read and are not interested in good literature but in an entertaining enough plot to pass time before the movie based on the novel comes out.",,,,,,,,,,,,,,
5, 18 May 2016,"Half girlfriend is story describes a man from remote bihar becoming a UN employee in US. He pursue his love even after many hard times. This book will let you finish in one go, but i feel hard in some middle. But eventually, author himself appears and make some plot that has great influence for the entire story. Something changed and he continues his pursuit for love. We all like what he doing in last, it get interesting when closing to climax. Its a good story, what you think about this story will not be your impression when you completes this.",,,,,,,,,,,,,,
1, 15 December 2014,"Seriously ??? What was that ??? So disappointing..  Half girlfriend will leave you with full madness.. Anyways.. what else can u expect.. after few pages I just kept passing by until it said   the end "" which is the best part of the book :)  . SAD !!!""",,,,,,,,,,,,,,
1, 14 November 2014,"One word- AWFUL!!! Chetan Bhagat needs to understand, if we are purchasing a book and taking our time in reading it, we would need good content to keep us going. The book started off fine but by the time you reach the middle, you'd be trying really hard to read all the lines. I really had to convince myself,it will get interesting by the next page! It lacks pace and a good story line!Its hard to believe this guy wrote ""Five point someone"" !!!""",,,,,,,,,,,,,,
1, 28 November 2014,all respect and faith i kept on chetan losses totally in a single day after i reading this book. he writing story for bollywood or what? totally useless. i cant keep quiet and my blood pressure is increasing more and more. since it is social so im not using any harsh words. i cant tolerate yaar. now im in mood to kill any of my dear ones or drink more and die. many used to say chetan writes for youth of india. is this indian youth needs?? pure 3rd rated bollywood masala story..........,,,,,,,,,,,,,,
2, 12 October 2014,"There are so many 5 and 4 star reviews for this book. But, I did not find it that interesting. The engrossment quotient is fine in the first half, but the second half gets really boring and obvious. The chapter that leads to the climax is unexpected and interesting, however, once you are done with that chapter, you almost know what you will find in rest of the 6 to 8 chapters. This makes it even more boring in the end.Cons:1. Its boring in quite a lot of places, except the first few ones.2. Its not a page turner by any means.Pros:1. If you are trying to learn English and need a beginner novel that lets you practice reading, then go for this book. Actually, I would recommend 5 point someone or 2 states as they are more interesting.If you are well read person or used to reading good writers, you will not like this book.",,,,,,,,,,,,,,
1, 17 April 2016,"<a class=a-link-normal"" href=""/Because-all-I-have-is-One-Life/dp/9384081264"">Because all I have is One Life</a>reality based", full of love," sacrifices and fun.""",,,,,,,,,,,,
3, 17 November 2014,first of all i bought this book from amazon as it was available for Rs100delivey was on timebut it had torn page in the middle as if were a used productapart from that the book is a one time read .its good but one time read ..,,,,,,,,,,,,,,
1, 11 December 2014,"Bakwaas story. Chetan is assumed as changing young face of India. One thing I would like to make him aware that our Young India has so high potential, please try to portray it to show as they can really do some thing class apart but not just thinking about a girl and trying to get her. The incident where Madhav put his sources used for flying US was rubbish. People across the world put their whole life to get such opportunities, spend years to avail the chance to become something in life, but the moto shown in this book was stupid. Chetan young minds, teenage and aspirations are not used only to have gfs, girls and ***ual things rather it can be used to serve nation, transform some one's life, which I must appreciate which u showcased in Bill gates part of visit in the book, the second part of Madhav's life was quite a good, and build a strong career. But the overall impact of the story would definitley not be a career oriented, bright future &amp; absolutely wrong goal impact for young minds.",,,,,,,,,,,,,,
3, 27 October 2015,"I did not plan to buy this going by the reviews. However, I happened to notice it on sale at a throwaway price along with the other books I ordered. Why not ?I should probably read everything and broaden my horizons (even if it is on the other side) and become more tolerable. As luck would have it, I had a major migraine for 3 days in a row and couldn't really focus on anything. So there is a book that wouldn't require me using my head much. Is it really a book ? Maybe just a Bollywood script:I could finish it in about 5 hours maybe lesser if not for the headache.So, I agree, it is not a unique book.It is not really a book I would read again.It is exactly like any other Chetan Bhagat book.What's new ? - The characters and the setting. New names of people.Delhi,Bihar and New York instead of Varanasi.What's old? - Everything else.But I have managed to watch every Shahrukh khan movie even when most of them used to have similar stories. So with Chetan Bhagat's books.The good things- Sentimentalism and drama keeps you hooked(Bollywood, right? minus the music)The bad thing?- Repetition ( I specifically recall a few sentences in a dialogue which go in the same way in 2 states and Revolution 2020) But of course, same author. Maybe this is his signature style. Only some people can like cheesy romantic movies. Probably not for everyone.However, I really want Chetan to stop meeting the main characters at the beginning and the end of his books. WHY? Why is it so necessary to bring yourself in ? In this one, it did not even make sense. Why would Madhav come up to the author's hotel and dump Riya' journals on him ? Why not on anyone else?About the copy: I bought it for 43 rupees. Free home delivery. It's not great. It's not bad either. One of the pages was out-of-size. But its no big deal for 43 rupees.",,,,,,,,,,,,,,
4, 30 March 2015,"It's actually a good book .To start with, I must admit that Half Girlfriend is a definite improvement in terms of the style of writing and manner of narration from all Chetan Bhagat books so far and wants you to keep reading the book till the end. If you are the one who likes romantic bollywood movies , then definitely go ahead and buy it .Though some might not like the fact that the book drags the story a little and you tend to get lost in the middle and the reader tries to think why this portion of story was even there . There are some grammatical errors in the book and some words are also misspelled (May be in my version of the novel)The characters are depicted in a very filmy manner , talking about films as most of us know , now there is a movie coming up in bollywood inspired by Half Girlfriend .It is a sweet romantic novel but somewhere in the middle it looses the charm a bit .The price at which the book is selling at Amazon it should be a must buy . Good time pass .",,,,,,,,,,,,,,
2, 4 March 2015,"Boy meets girl, falls in love with her except she just wants to be friends with him plus they both are from different Indian states.Sounds predictable and what with so many stories already focussing on this theme of social, cultural differences among the various states in the culturally varied India with every second person afflicted with a similar case of I love her/him but she/he doesn't love me""", I was reluctant to take up Half Girlfriend but when some of my readers pointed out that I had not reviewed CB's latest and expressed their desire to hear about my thoughts on the book, I decided to go buy the book and read it! :)First things first, I must tell you my previous impressions about CB formed after reading all his previous books. CB is an author who writes simply, knows the issues that are common among the young Indians and has managed to make a place in their hearts. All these things make him respect worthy in my eyes. Coming to his books, I loved 2 States the best among his books and Revolution Twenty20 the least. His books are unpredictable. There is no guarantee that you will like them.Half Girlfriend takes the author's writing journey forward and here too he focuses on the issues that are pretty common and so, will be empathized upon by everyone. The title is intriguing and makes one take a second look at the book while surfing in a bookstore. The blurb is mediocre but with CB, who reads the blurb?We just see his name and pick up the book! :)When I started the book, initially I enjoyed reading about Riya and Madhav and their character development in the first 3-4 chapters. After this everything is the usual with nothing interesting to keep you bound to the book. The story could have been made more crisp, concise and simply more interesting. It drags and the scenarios and the change of places just didn't make me want to stop to take notice.The writing style is simple and can be read by everyone but this book is not meant for serious readers because you, simply, wont like it. If you are an avid CB fan and a casual reader then can give it a try. If you are new to CB then I wont recommend starting the author's book journey with this book.2 out of 5 to Half Girlfriend because I liked the title, the idea behind the book and the character development. The execution of the story fails and the scenes, after the initial part of the book," start looking too far fetched and a drag.This review is also available on my blog Njkinny's World of Books &amp; Stuff"""
2, 5 January 2015,"If you are the one who prefer watching Bollywood type lovestories, you are the one who will enjoy reading Chetan Bhagat’s “Half Girlfiend”. The blockbuster writer is as usual again successful in keeping you hooked in his story. The writing skills are excellent as if written for a reader who has extremely low level of understanding English, but for all those who enjoy reading work of masters, it is a sweet treat of ‘Happy Ending’.What you should look for –1. If you are reading this book, acknowledgement is a must read part. It makes the mood of entire setting.2. It is written after studying minute details of culture and geography.3. You may encounter reading about some well known personalities, you least expected here.4. Bihar is the better part than Delhi, it is where the story has interesting hues.5. The incidents you think have no relevance, eventually give strength to the story.6. You may tempt to eat Litti Chokha as soon as you finish this book.7. You will get some good guidelines on how to learn English.So, ignore a few flaws and enjoy reading this fiction.",,,,,,,,,,,,,,
3, 29 November 2014,"The novel is okay. I read all Chetan Bhagat's books religiously, even re-read some of his works from time to time because I enjoy them. He adds a twist of humor to any situation which I particulaly liked. But lately, his works got more serious, I appreciate that, but at the same time think they are lacking in creating much intrigue. His narration used to be light-hearted, yet conveyed a motivating message at the end. This story lacks both on the subtle humor &amp; message fronts (Its just a story I know, but just mentioning my thoughts on it). Its gets tedious/dragged out after a point, I mean how long can the female-lead toy with hero's emotions and yet never commit or at least let him go, it comes across as selfish. The story hints that she's had an abusive past (am I right on this point?), but her behaviour is odd (she still allows/enjoys some intimacy, fully knowing what it could lead to...strange!!), its hard to sympathize with her. It seems to me that she never gave the guy much importance, she flitted in &amp; out of his life as she pleased. Considering this, the hero's obsession with her IMO, seems unreasonable and over-the-top, for they didn't even have a proper relationship (I have to tag it as one of those love-at-first sight things). And yes, the climax is dramatic and resembles a cliched bollywood ending. Not impressive. The only part I liked about him is the way he worked for the school's development back in his village. I did not like, nor could relate to any other characters in this story. So that's about it. And YET, eagerly awaiting your next story Chetan, please bring back your old style.",,,,,,,,,,,,,,
1, 13 November 2014,"I'm a fan of Chetan Bhagat, and enjoyed  Five Point Someone, 2 States  and The 3 Mistakes of my Life, but was disappointed with Half Girlfriend.  I found it quite incredible that a beautiful, rich socialite  and a dehati who could hardly speak English or was familiar with big city life, could fall deeply in love.  All they had in common was basketball. Not amusing or touching like the other books",,,,,,,,,,,,,,
1, 27 October 2014,"Half star for CB’s Half girlfriend Need I say more?Okay here it goes... apart from the age old clichés this book is just an exact copy of his earlier novels, but in a hideous way. The story like others includes some sports with hardly any connection + Bill Gates out of nowhere. There is absolutely zero depth story wise or character-wise. About writing I can say the language is actually deteriorating in every sense, calling it simple English seems absurd.Main protagonist ‘the non-English type’(as CB says) Madhav was like a blessing in disguise for this ridiculous language I guess. I must admit each and every dialog in this book was so pathetic that it made me laugh out loud (well, that ½ star is for all those LOL moments).Looking back now, I don’t find any difference between CB’s male protagonist Govind, Gopal and now Madhav all are same depos, chepos , self pitting jerks yet behave like innocents in the end and all his female protagonist Vidya, Aarthi and now Riya all are so silly and lame that they always end up taking stupid decisions. There is absolutely no character differentiation amongst them what so ever. On top of that the main characters are always behind the author himself to share their life stories so that he can save them in the end and write an epic story out of it. God, Give me a break!!!!Coming back to ½ Girlfriend how the hell the title is apt for the story I am unable understand. Is it because Riya just allowed despo Madhav to kiss her and refrains him to do anything beyond that, is that it? I don’t know how else to justify this stupid title for this awful story.I don’t even understand how people are considering this as a Bollywood script(story) in my opinion it shouldn’t even be qualifying for that.",,,,,,,,,,,,,,
5, 31 October 2014,"Well, the story is a typical masala bollywood movie story but it indeed draws you attention towards it. I enjoyed it although it seemed much fictional and irrational, but i enjoyed it completely.And the best part it i got it at 49 rupees.4 star for the novel and 1 star for the 49 rupee purchase, makes it a 5 star. !!!",,,,,,,,,,,,,,
