Rating,Date,Review
5.0 , 4 November 2015,"iPhone 5s was first released 2 years ago in November 2014.I am still a fan of iPhone 5s, over newer 6 or 6s. It's much cheaper then iphone 6 and 6s, but with all the same features including fingerprint authentication and a powerful 64-Bit processor. If a bigger screen is not your priority then this is a good cheaper iPhone.Now the important Question: Is it original with India Warranty?Answer: YES. I bought it from 'Gadgets_Guru' seller. Took phone to Authorized Apple service center, and got it verified, It had valid 1 year warranty in India.Printed price on box is Rs.35,000 and I got it from amazon for Rs.28,300.UPDATE: Apple has further reduced price of iPhone 5s, and is now available around Rs.21,500. The price keep fluctuating between Gold, Silver and Black color, make sure you check price for all the colors.Side note: The box came with 2.1 Ampere Charger, which comes with iPhone 6s and iPad. Previously iPhones use to ship with 1-Ampere charger, and I believe apple is now putting same 2.1 Ampere Charger with old generation iPhone too. This is a GOOD THING, it charges twice as fast.--One last thing, Please hit YES Button if you found my review HELPFUL"
5.0 , 28 April 2016,"The phone was delivered within 2 days.This phone was priced at 55k last year, however, due to ihpne 6 being launched, I managed to get it for 18k. Which is a fabulous deal.The phone: I always felt that apple was extremely arrogant with its one ecosystem policy. I've used Lumia, Android (multiple devices) and even the synogen phones for a while. I now understand the power of design.Screen Size - PerfectBattery - Yes, it drains out quite fast, but that is only because of the background applications. Turn them off (Doesn't make sense to have them on as they anyway update within seconds once you activate the app) and switch to low power mode. Lasts for more than a day.Space - 16GB was adequate space for me because I need 5GB for music and another 5 for apps and pictures (which i transfer to my laptop- google drive etc quite often)System - As smooth as butter. I LOVE the fingerprint scanner. Makes life a breeze. Considering how integrated our lives are to mobile phones these days, the flawless design and smooth functionality of this phone has reduced stress levels. i did not just buy a tool for communication and accessing applications. I bought a stress buster - which is probably going to add a few years to my life. Unless I die in a freak accident or overdose of cocaine."
5.0 , 8 May 2016,"I switched from iPhone 4 to 5s and this phone is really really great for the price it is being sold at right now. Would totally recommend it to peeps who wanna use an iPhone but have a low budget. The camera, processing speed, game play, body weight and size is great for a correctly sized (mostly known as small sized) phone. Before opening the box I checked the IMEI number on apple's website and the phone was showing as not activated, and after setting up my phone I checked it again and it was showing me a years date for limited warranty from the day I started using it, hence it's a brand new, untouched, sealed pack phone. Thanks to the seller for that."
4.0 , 9 February 2016,"In the past 4 years I have owned Android and (the now virtually redundant) Blackberry phones prior to buying an iPhone 5s last year. Overall I prefer the iPhone over the others and would recommend it, with a few minor reservations.The iPhone 5s is superior in these areas:1. The design is a work of art, finely sculpted and proportioned; a pleasure to hold and use2. The screen is fantastic; big enough to be really useful but small enough for the phone to be easily pocketable. The Blackberry screen was maybe too small for most applications except for email, and the Android too big and heavy for portable use. I particularly like the long narrow screen on the 5s3. A lot of thought has gone into the way a user can navigate around the screen through the different functions. I have owned an iPod Touch for a couple of years and have become a fan of Apple's clear and simple graphics: on the 5s, it's even better. The software never crashes, which it did with both my Android phones frequently4. For a user with larger than average hands/fingers, the on-screen keypad of the 5s is really well designed - especially true if you use the phone in landscape format which has the effect of widening the keypad. In comparison, the Android was frustrating and not very user-friendly and the Blackberry Storm completely hopeless - though the permanent keypad on the Curve was great5. The ring tone &amp; speaker volume is louder and clearer on the iPhone than any of its rivals6. Phone reception is the best. I don't know how Apple manage this, but I have made and received calls in locations where other phones don't seem to work - like travelling on the London underground and in deep underground car parks7. The camera is so good it's up to the standard of a dedicated Canon or Nikon compact, for the first time on a cellphone8. The memory (64GB) is vast, with a storage capacity so huge you're never likely to need more no matter what you download and store on it9. Siri, iMessage and Facetime are genuinely useful apps, not just gimmicks. They actually work well. The fingerprint scanner works too, though how much of a real security feature this is remains doubtfulGripes: very few -1. The battery life isn't great, but no worse than the Android Galaxy 4 and you can substantially improve it on the 5s by turning off power-hungry applications2. The unique nano-SIM means you can't swap the SIM over to another phone in an emergency, or for example if the phone is damaged and needs repairOverall I have become a reluctant Apple convert. It's easy to see why they have become market leader with such an excellent product. Of course in another 2 or 3 years the tech will have moved on again, there may be a new market-leading manufacturer and the 5s will be an antique. But until then, except the 64 bit architecture the 5s for me is the King of cellphones in 20k budget.(ignoring unreliable Chinese brandsFinally, a lot of reviews posted on amazon are from buyers who are unable to transfer their data from android. This must be very frustrating but these are not really product reviews, they are complaints. The solution is easy: buy from an Apple store and they'll set up the new iPhone for you and transfer all the data from your old phone or search on you tube and learn the way to do it.Tip- Please buy from amazon fulfilled seller for genuine phones.Thanks for your time."
1.0 , 13 November 2015,"The product I received is faulty. Mic is not working on speakerphone. Opting for replacement. Spoiled my Diwali."
4.0 , 22 April 2016,"Performance is very good but found heating problem"
1.0 , 26 November 2015,"The mobile gets heated whenever its get connected to 3G mobile net. I bought from Gadget direct seller and I need to know is this the normal problem."
5.0 , 3 May 2016,"I HAVE NOT BOUGHT IT FROM AMAZON BUT THIS PHONE IS FANTASTIC PHONE. I HAVE 3 5S IN MY HOME. GOLD 32GB IS USED BY MY WITH AND OTHER TWO SPACE GREY AND SILVER ARE USED BY ME. THEY ARE REALLY WORTH BUYING. EVERY PENNY I SPENT ON THEM IS WORTH. I DONT PUT CASES ON MY PHONE WHICH LEAVE ME WITH WONDERFUL FEELING OF HOLDING SUCH A FINELY CRAFTED PHONE.I BOUGHT TWO 5S IN 2016, ITS ALMOST 3 YEARS SINCE ITS INTRODUCTION BUT I BET NONE OF YOU CAN FEEL THE SLUGGISHNESS IN THE PHONE ON NORMAL DAY TO DAY USAGE. I PLAY GRAPHIC INTENSE GAMES LIKE NOVA 3 AND MODERN COMBAT 5, BOTH RUNS PREETY GOOD.FOR ME BEING A 5S ADDICT CANT FIGURE OUT A SINGLE FAULT IN THIS PHONE. ANYONE CAN LIVE WITH THIS PHONE HAPPILY."
5.0 , 5 November 2014,"Giving feedback after using iPhone 5S last 25 days. I ordered this phone on Amazon Diwali Dhamaka deal @ 29999. I got amazing deal with best price. It is brand new genuine apple iPhone in sealed box with accessories having apple India warranty. I did not have any problem till date."
1.0 , 24 December 2015,"I had returned the i phone on the very fourth day of my purchase as there if flow of electricity near the charging port during charging and it is also giving mild electrical shock when touched there bare foot. When tested with a tester the light in it glowing brightly so much electricity the rear body is pumping out. Please see the photo attached. This is the quality of the so called i phone. Beware every one.Also this is a genuine product as I verified from apple site. Apple should not deliver to this country such third grade products without testing their quality.The plus point is service of Amazon is excellent."
