Rating,Date,Review
5.0 , 23 May 2016,"*5 days Since Release and got an Update already! Now that’s sweet and called stock*Basic Q&amp;A’sAny Heating Issues?Every device heats up a bit but thanks to the plastic back cover used in the build of this device that you’ll hardly feel the warmth of the device.NFC?Sadly NO.IR BLASTER?Again NO!Has Geo Magnetic Sensor?Nope.Water proof or Water resistant?Nah!How is the Battery Backup?Pretty good with 6+ hours SoT without battery saver (Pictures added)Camera Quality?Is Okay and better than most of the devices out there and might be made even better by software updatesAudio Output?Tested with Motorola Pulse 2 On the ear Headset and it is just awesome.Speaker Quality and Output?Quality is good and output is just Okay.Benchmark Scores?See Below in the review.Any call drops?So far NO.How is the Turbo Charging?Awesome it is! Takes around 100 min for a full charge.How is the Build quality?To me, it feels like premium.RAM used while idle?About 1-1.2 Gigs.How is the Fingerprint Sensor?Pretty Good and accurate and unlocks the device in a jiffy.Supports OTG?Hopefully. I didn’t personally test but it should support.Usable free space out of the box?Around 25 Gigs.Is this device VoLTE?Yes! Tested with JIODual SIM?Yes (4G+3G)Call Quality?Excellent as it should be.Has LED indicator?Yes, at Bottom strangely but doesn’t light up for notifications (Hidden LED).Screen to Body ratio?~ 71%Sensors Available?Fingerprint Sensor, Proximity Sensor, Accelerometer, Ambient light sensor, Gyroscope.Reasons to buy:~ STOCK ROM.~ FHD screen of 5.5''~ Camera with Laser AF and PDAF.~ Fingerprint sensor which unlocks the device in a jiffy.~ 3000 mAh Battery with TurboPower Charging.~ Professional Mode in Camera.~ Runs Android M (6.0.1) out of the box!~ Expandable Storage up to 128 Gigs.~ Dual SIM.~ It is a VoLTE Mobile. (JIO users roll-over with happiness)~ Premium Looks and Feel in hand and super lightweight.~ 2 and 3 Gigs of RAM with 16 and 32 Gigs of on board storage.~ Octacore Snapdragon CPU (617).~ Faster OS Updates.~ Brand Image matters~ New in market L O L~ Turbo Power Brick (Turbo Outputs are 9V ≡ 2.05A and 12V ≡ 2.15A)Weird things:~ No NFC and IR Blaster even priced at 15K.~ No Physical or Hardware Buttons.~ LED Indicator is at the bottom and it doesn’t notify about missed notifications. Still figuring out why they have kept a LED which doesn’t serve its main purpose.~ Fingerprint Sensor is not a home button.~ Earpiece and Speaker are both same.~ No 4K whatsoever.~ No Orientation or Geomagnetic Sensor.~ E or H or LTE symbol is shown even when the data is off and when the data is turned on the symbol darkens.~ Secondary mic is placed on the screen itself beside Fingerprint sensor.~ Non Removable battery.~ Not Water Resistant or water proof.~ I don’t know why but the default ringtones start with a delay of like 1 second.Detailed Review:Build &amp; Feel in hand:- I have to say it feels very Premium in hand. It has this rigid plastic back cover which seems like rubber from far but isn't and due to the texture type design on the back cover it stays in hand without slipping off easily and due to its light weight it feels comfy in hand and you'll love using it.Touch &amp; Display:- A Big Improvement from Previous Gens as this mobile packs an FHD (Full HD) Screen which is of 5.5 Inch which is just great and the display brightness can go from low to pretty bright.- The Viewing angles are also great!- Compared to some other devices you’ll find this screen a bit warm or to say it’ll feel more like a filter is added.- Touch is great and very responsive. You'll enjoy using this touch.Sound:- Speaker and Ear-Piece are both the same! Like dafuq?- It isn't loud but just gets the job done.- As the speaker is facing towards front or towards the person, while watching videos it’ll be loud enough.Camera:- It has 16MP sensor.- Turn on the Professional mode in camera to get more control over what and how you click by adjusting white balance, ISO, Shutter speed, Focus etc.- NO 4K recording.- Focusing is actually good and very fast...It's just a matter of seconds with the Laser AF- I wouldn't say that the Camera is extra ordinary but it's good.- Front Camera struggles very badly in low lighting.Fingerprint Sensor:- My Primary Device as of now is OnePlus2 and I compared both the devices in terms of fingerprint unlock and I'm Pretty amazed with the speedy unlock of this phone... Might be some 0.2 sec or 0.3Battery:Easily gets out through the day with moderate usage.I managed get a SoT of 6+ hours (Picture added)Turbo Charge is really amazing in this device which fills up the juice pretty quick likeAt 6:30 am - 5%8:16 am - 100%Benchmark Scores:AnTuTu: 42644 (Picture added)Vellamo: (Picture added)Browser - 2274Metal – 1352Multicore – 14783D Mark: 388 (Picture added)Bottom Line –  I feel like It’s a bit Over Priced but then it’s worth it if you are looking for a phone that gives you a stock experience  and If it is stock then almost everything is optimized for it then ultimately you are going to get the best user experience!I prefer it over the Redmi Note 3.[...]"
4.0 , 14 June 2016,"Amazing specification is charging speed ..within 15 mins it charges from 8% to approx 50% of charging..Second thing the gorilla glass .. with very low brightness it is so bright when you use it indoor purpose for out you need to increase to 20-30% that more than enough to view screen clearly. Third thing internal memory and ram performance.. they are making positive impact .. no lag in games,no struct during multiple application operation ..go for 3 GB ram series ..Fourth thing light weight,easy holding , comparatively with other phones having same size in length and breadth ..Fifth thing finger print sensor .. is also good .. it recognizes very fast .. I didn't get any problem during unlock.. some face problem in recognition .that's because when creating fingerprint sensor it asks 3to 4 times for overall finger so try slightly different positions with your finger for overall recognition.. then it works fine while unlocking ..ConsWith the turbo charging it charges in lightning speed but phone temperature also rises high .. so don't run any applications or ,WiFi,or mobile data during charging."
5.0 , 27 May 2016,"Gyz i will give you a honest review as i am an IT ProfessionalI used this phone for 4 daysPro:-Camera is awesomeNo lag at allBattery backup is good32 gb internal storage3gb ramFingerprint senser works wellInstalled61 apps and still no lagAwesome slow motion(good as iphone)Wil be able to upgrade to Android n and o as guaranteed by motoCons:-Slightly heating while running heavy apps and while charging1% buggyPlease thumbs up if u like my reviewWill update soon"
4.0 , 16 June 2016,"Moto G4 PlusA Bang For BuckFirst of all I would like to tell that I was just like every normal guy, read a lot of reviews , saw videos on youtube , visited moto support site.I was so informed about every little detail of even the processor that you could ask me anything.First I was planning to buy Xiaomi Redmi note 3, but it never came in stock, It was really a good one especialy SD 650.The first thing about Moto Is Android 6.0.1, which you would never get on xiaomi or get when android N would be released.- For heating IssueI would like to tell that yes this device heats but not on alaming levels, using camera heats a lot, that I would not deny.During charging it heats but if you do not use it while charging then it is Not at All a issue, I suggest that do not use your device while charging because this device charges up very very quickly, be a little patient to increase your device's life by many times.-Turbo ChargerYou would not get it on Xiaomi,Moto's Turbo charger is very very good. Solid Build Quality,Long cable,Very Fast Charging.Never Worry About Charging-BatteryVery good battery life. With doze mode you can get battery of a 3500Mah battery. And doze mode is all automatic, no hassles.-UIA total Stock android, very very basic.about 2.8 gb of ram available and 1.7 free on first boot.Night Mode is very cool.a feature called adaptive brightnessis very good.-FingerPrint ScannerAwesome 95%accurate,Fast and gives a very cool look to device.-DesignI would recommend the white colour ,looks very ELITE,I do not know about Black but I think that I would have not liked if had ordered black colour and it's up to your choice.The back of device is average not that good, but you can buy back covers, This would help in protection and prevent scratches on the metal bezels.Front Is very impressive though-CameraVery good camera, great quality.-PerformanceVery Good, no lag at all,not tried with HD games, I would soon tell you.-InternetReally very fast,I am talking about 2g. You get very good speeds even on 2g networks, I mean satisfying for what you pay.3G is superfast and more fast with this device4g not tried,not gonna try because I am satisfied with 3g speeds. I even have set my network from 4g to 3g, as it would save a little battery.And most of us do not need 4g and most of us don't use 4g.-SpeakerThe Placement Of speaker at the front is very cool. The voice of speaker is very loud ,clear , you can hear the bass clearly.Quality of earphones is normal, what others provide, nothing special-No USb cableUse a app called wifi transfer pro but not from play store find any apk cause it is full version.Install it then activate the hotspot on mobile and connect your laptop to this wifi hotspot.Open the app WTP tap start and follow instructions.Has Hidden LEDOnly Activates when you switch off your smartphones and connect chargerI am satisfied With this smartphone. listen to me I am no person who buys every smartphones. I am a normal person this is my socond smartphone in 3 years. I am no promoter, nor from moto, a normal citizen of india.I write this because many people have such confusions. I had this too. It is to show peaople a true path , so that people change their way of wrting reviews ."
5.0 , 23 May 2016,"Hi thereBought this phone on 18 may as soon as it went on sale.Some of FAQ's-Fingerprint scanner - YesMagnetic sensor- NONFC - NoOtg support - yesMicrosd - YES upto 128 GBIR blaster - NoTHERE IS NO LED NOTIFICATION LED , MANY REVIEWERS WERE SAYING THE LED IS THE BOTTOM OF DISPLAY, THAT IS MIC  lmao.In the Box -&gt; Moto g4 plus&gt; Too much of documentation&gt; Turbocharger 2.0 with fixed cable&gt;  Surprisingly Earphones are also includedBuild Quality------------------The bezel around the phone feels like metal but it is not clarified yet if it is Metal, To me it seems like really hard plastic used which gives feeling of metal. The back panel is user replaceable but battery is not removable, under that you will get 2 sim slots and microsd slot also. The back panel is textured and gives a lot better grip then xiaomi redmi note 3 i used. The phone is very slim.Hardware---------------The phone is powered by Snapdragon 617 chipset with adreno 405 GPU and coupled with 3 GB RAM , FOR POWER USERS I RECOMMEND 3 GB ALWAYS. The processor is an octacore but it is using same old A53 cores . Motorola says they have optimized the OS acc. to chip and there will be smooth experience and yes i experienced zero lag in my usage.Camera-------------Camera is a strong selling point here , Nothing comes close to this camera at this price. I used Redmi note 3 for 2 weeks but was not satisfied by the camera at all so very first day i ordered this phone and Believe the camera is brilliant on this thing. Laser assist autofocuses like crazy fast and that 16 MP sensor produces much natural Pictures compared to others , Lens used is f2.0 apperture and Produces crisps Bokeh effects.I will be adding Camera samples by tonight also. In low light performance it just destroys the redmi note 3 . The front facing camera is very wide and does performs quite well in low light also.Software --------------The phone runs Android MM 6.0 out of the box which gives it a plus point as compared to other in this range .The UI is as stock as it gets. I was using MIUI for past  2 weeks on Note 3 and i have to say there is nothing Like Stock Android Experience. Other than that MOTOROLA HAS PROMISED UPGRADE FOR ANDROID "N" AND ANDROID "O" and that was another main point which made me buy this over RN3.Battery------------The battery inside is 3000 mAh and gets the job done can't say much about it as i am still testing it and will update within few days. TURBOCHARGER is another thing that you don't get with others. It gets fully charged within 1 hour and 40 minutes, And you get Turbocharger inside the box.Fingerprint scanner-----------------------------The fingerprint scanner is on the front. Now it is personal preference for that. I personally like it at the front as opposed to at Back.It unlocks the phone in a blink and is better than RN3 i would say in some cases . Don't get me wrong here RN3 scanner is also superfast but due to some bugs the scanner sometimes freezes and you have to unlock it manually.Overheating------------------Yes the Heating problem is there with Snapdragon 617 Chip, you will only notice heating while charging , gaming and camera use.While my normal usage i was not experiencing any major heating.Hope this helps"
5.0 , 27 May 2016,"Having seen a mixed response on reviews, I had my fingers crossed after ordering this phone from Amazon. Amazon once again proved its customer friendliness, I received it next day of my ordering itself. Kudos to Amazon on its express delivery. You made me exciting once again.Let's come to the main point, my MOTO G4, I can describe in one sentence, ITS A MOTO PHONE, what else does it need for one to get convinced. Don't think I am a crazy fan of MOTO. Truly to say that is the feel I have got from this phone, when I hold it for the first time. It's only my second MOTO phone after my MOTO Razr long ago. Am currently using ASUS Zenfone 5, the early variant, which is still solid and performing, but lacking in meeting my ever growing demands.After I read each of the comments provided here, I have understood many misunderstood or simply scared and returned the phone. So wanted to give a clear review to help others make a clear decision rather buying and suffering it.This phone is not for everyone. So please understand your needs and check whether this phone suits you. Don't just look at configuration and features alone and buy it.DESIGN &amp; BUILD QUALITY: 8/10The design is mixed still being MOTOish mostly, with some transforms, not sure whether it's influenced by Lenovo a little. Rounded corners, MOTO logo in a recessed circle, centred audio jack, curvish trims at top, all are in regular MOTO design language, but flat back, front button kind of look for FP sensor are new. One can easily identify it as MOTO from a distance. So no worries for MOTO lovers.Phone is slightly big for its 5.5 screen, 71% screen ratio, but it could have been slightly trimmed across the corners as it has rounded metal trims all around for support. Yes, it's metal only, not plastic. So it's good and comfortable in larger hands, but people using smaller phones, especially ladies need to think twice.Screen is protected by Gorilla glass, nicely fit around the corners with no gaps or any irregularities, I heard that Redmi N3 has some problem. Touch is responsive and smooth. Front speaker at the top is a sensible design, no worries about call ringtones being muffled anymore as in back speakers when put in bed or any soft surface. My ZENFONE has this drawback, and even RN3 has that issue. Hats off MOTO.Many raised concerns about finger print sensor at front. But this position is what truly ergonomic and practical to use. It's sensibly placed for our thumb in holding hand, or our index finger in other hand, these two fingers only we used 99 percent of the time for operating the touch phone. Apple iPhone designers are no idiots to place it at front. The fact about many putting sensor at the back is not because it's convenient, but it's cheaper and easier to place it there. Otherwise, they need to worry about real estate in front side to place it or change their home buttons as sensors, which cost them a lot, only Apple can afford it. MOTO made a wise and balancing decision here, but obviously it may confuse people for home button for sometime till they get used to. But I would say any new design will take some time to adapt.Flat back is little uncomfortable to hold, again for small hands, but it's rubbery and giving good grip, the metal trims is slippery especially when you have wet hands. It's better to put a silicone cover on it. This is the main reason I hate metal body in phones unless it's micro brushed as in iPhone. Also metal body will be prone to scratches and not replaceable. Though it looked premium in initial days but would become more ugly after some time with all its scratches and dents. iPhone and HTC use military grade titanium alloy, but I doubt about these budget phones with metal body just for the sake to look premium. MOTO didn't compromise on that, kudos again. Only flip side on plastic back though is that, it cannot dissipate heat as good as metal. This is one reason we feel heat on this phone more easily, even though RN3 produce same level of heat. Also flat back makes the phone more slimmer and less bulky, which is good.Overall, phone is very solid and decent looking, not plasticky as told by some people. Very sensible design by MOTO.Who should think twice to buy it?People who thinks metal body as premium statementPeople having smaller hands or using small phones currentlyWhy 8/10?MOTO should have been given a 5 inch version as wellCamera is raised and so prone to scratchesCALL QUALITY and DATA: 9/10MOTO proved solid in calls and networks department once again, no drops. Voice quality is crisp and clear on both ends, thanks to the noise cancelling dual microphone. Calls in given headset is ok, but not great. I understand the headset is the problem, when I switch to my Klipsch, it becomes amazing. Both 3G and 4g works without any flaws. This supports VoLTE, and uses CAT 7 radio that allows phone to download at 300 Mbps at max, thanks to new Snapdragon 617. So future proof in this department.Who can be benefitted:Reliance JIO users, and people who use phone calls and data more regularly or for official purposeCAMERA: 9/10DXOMark rated this camera as 84 which is equal to iPhone 6S plus, even iPhone 6s is having lower rating than this. Believe it or not, only 4 mobile cameras in the world is having better DXOMark rating than this, but they are all flagship models from Samsung and HTC. Though it was tested in controlled environment, regular user experience will be different obviously. But this phone camera is truly best in class, produced similar if not better results in day light photos as iPhone 6. Auto focus is snappy thanks to the laser focus and it's as quick as SLR camera. Though it struggles in low light and indoors, obvious due to pixel in image sensor is smaller as being 16 mp. You can understand why Apple sticks at 12 MP thanks to its larger pixel for excellent low light photos. It would have been great if MOTO sticks at 13 mp itself with its improved top class hardware. Front camera is good but not great, but wider angle helps group selfies much better. Again sensible feature. Camera app is great with its pro mode, worthy to use.Who should think twice?People who takes indoor photos and low light photos very oftenSerious selfie fansI put 9/10, because it misses optical stabilisation, but can understand budget issue there.HARDWARE and SENSORS: 7/10Snapdragon 617...culprit for all those heating....though it has very advanced features under the hood. It's a hybrid processor having 4 cores running at 1.5 ghz to handle heavy job and 4 cores running at 1.2 ghz to handle lighter work and save the battery. Clever design, though it gets heated up easily and throttle down during heating to avoid damaging the phone. So only some slowness while heating. Since it's a newer processor, the OS is not yet fully optimised for it, and I believe future updates will solve this. But again, I tested the temperature under heavy load, it's not that alarming as some people claims here, obviously no iron box or oven, that's too much :) may be you guys need a/c or refrigerator in your phones :)All mid segment SD based phones have heating issue, RN3 has it, HTC has it. High end phones have better heat management design, that cannot be afforded in budget phones. Though SD 617 supports Wifi ac band, this phone sadly supported only b/g/n. Not sure why, so no future proof here. Also no magnetic sensor, many apps rely on this cannot be used on this phone, sad again. But want to clarify one thing, this does not stop you from using maps. Maps work with GPS and your mobile data, so no worries. All the problem with maps is it will not rotate the map when you turn yourself while you walk, but it will turn if you travel in a car using your mobile data as you move faster. Finger print sensor is snappy and accurate and it supports 360 degrees, top class!Who should think twice?People who need icy cool phonesPeople who goes for trekking oftenPeople who rely on compass for their prayer directionsWhy 7/10?No Wifi ac, no compass sensor and non optimised os for heat prone SD 617ACCESSORIES AND BATTERY: 9/10Turbo charging is possible on this phone and improved compared to previous models again thanks to SD 617 for its QuickCharge 3.0 technology. It charged my phone from 50 to 100 in 30 mins. Yet to check the time from 0 to 100. Great for frequent travellers and business people. This unit comes with a turbo charger, that is awesome as MOTO G4 model has no charger included, this charger alone costs around 2000 rupees. Great offer.3000mah battery is much sufficient and balanced for typical phone users, although not for gamers. SD 617 is low power consumer, so no issues.The weakest part is its headphone. Possibly MOTO can avoid putting a headphone altogether rather putting this one. Bad move. Ok for calls, but pathetic for music. My Klipsch rescued me from this. Thank god.Who should think twice?Serious mobile gamers, please go for RN3 with its more powerful processor and larger battery.Why 9/10?Headphones, obviously :)SOFTWARE: 10/10Nothing can beat stock android and its fluid experience. Though I am great lover of ASUS ZenUI (the most sensible custom ROM in my opinion), I loved this vanilla android. Also there are great advantages, as we know quick updates, security patches and high security as custom ROMs open many security loop holes. And it's Marshmallow and it's material theme, awesome experience.I installed some apps from my Zen Ui though, example gallery. We have that freedom to install what we only need, no more bloat wares.Who need to think twice?People who love customisationPeople who don't understand or prioritise securityOverall, if you are one of the following, I better recommend not to buy thisSerious gamers to play heavy games or 3D games, go for RN3People who use it for chatting for hours, go for Mediatek based mobiles, which are slow performers and so less heat.People who want their phone look like iPhone, go for RN3 or Letv or MeizuWho can buy this?Who has more official commitments with this phoneWho appreciates sensible and usable designWho needs a solid service support on a longer runSerious photographers or blogistsEdit:I have found few interesting things on this phone.This phone has a pedometer, I mean step counter, though it's not mentioned anywhere.Likewise it has a rear proximity sensor as well.I tested both these sensors and both work perfectly. If you install CPU-Z, you can reveal these.Also, it keeps two speedy cores shut down during normal usage ensuring power save. Even after I installed and used so many applications, the memory was kept at 50% only. Marshmallow Doze feature helping this perfectly."
1.0 , 15 June 2016,"Moto G plus was my first purchase from Amazon. And I was provided with a defective piece. The speaker of the phone was not working properly. It gets mute even being in general profile and nothing can be heard while calling. So i returned and replaced the phone. But i was provided with the same phone again having the same trouble. Even the seal of the pack was also broken. I vl not blame Moto for this. The phone is excellent n factory defect may sometimes happen. But i am disappointed with Amazon and its poor service. Now i am about to return  it again. And i am worried this time about how much i need to suffer more for refund of the money. My first purchase from Amazon became my last purchase. M not going to make any purchases from Amazon in near future."
5.0 , 15 June 2016,"Excellent Phone,Amazing Speed Super fast Octacore processer I have been using it Since a week the battery life is good ...Over all excellent specs And a very good value for money ....Must Buy Motorola is a six sigma company....Meets above expectation ...."
1.0 , 2 June 2016,"Purchased a phone through OKAY enterprises. It was damaged. There were minor scratches on the sides of the phone. Make me wonder if my phone was used before. The seal was just clear tape. The phone is great, but avoid OKAY enterprises."
5.0 , 16 June 2016,"Awesome  product.... everything going fine....Laser focus is daaaammmmmnn  sexxyy...Fingerprint sensor is awesome.... reallly fast....Most of them reviewed that it gets heated up like an iron box.....but i didnt find much heating issues....yeah it does heat....but not much....compared to previous gen's moto g...it doesn't heat to that extentFew had reviewed that they are getting confused with home button and the fingerprint sensor....it wont confuse if you have been using moto phones from past,not only moto, the phones which have home and other functional buttons on the screen ....But this time moto has cut down their main signature-the curve......And the phone is slim compared to other gen's..And has a hard fibre frame...i felt that its uncomfortable to hold the phone.... i may slipp offf any time...Then....the earphone jack...earphones have to inserted fully..then slightly turn round to hear properly....Overall ...a good phoneI give 8/10"
